Longitude_coarse,Latitude_coarse
-59.64,13.19
-61.37,15.24
-59.56,13.06
-59.6,13.07
-60.94,13.72
-60.96,14.1
-61.2,13.12
-61.25,13.16
-61.28,12.99
-61.19,12.87
-61.35,12.64
-61.35,12.62
-61.36,12.63
-61.45,15.44
-61.47,15.59
-61.48,15.58
-61.06,13.93
-61.08,13.87
-61.08,13.86
-62.22,16.76
-64.46,18.49
-64.6,18.32
-64.63,18.33
-64.81,18.37
-64.84,18.3
-64.85,18.34
-64.84,18.32
-64.88,18.77
-64.9,18.28
-68.35,18.66
-68.79,18.27
-68.83,18.34
-69.02,18.36
-69.09,12.22
-69.48,19.34
-69.5,19.34
-69.6,18.44
-69.61,18.44
-70.52,19.77
-70.52,19.76
-71.21,19.84
-71.33,19.88
-71.64,17.81
-71.67,17.89
-71.69,17.94
-71.74,18.03
-71.82,19.87
-72.34,21.84
-74.19,11.32
-74.19,11.3
-76.39,18.18
-76.84,17.93
-76.84,17.92
-76.85,17.9
-76.94,17.78
-76.82,17.94
-77.04,17.8
-77.38,18.47
-77.36,18.46
-77.39,18.47
-77.41,18.47
-77.55,17.81
-78.34,18.36
-78.35,18.33
-78.35,18.34
-78.35,18.35
-78.36,18.31
-78.35,18.32
-78.37,18.26
-78.34,18.34
-78.37,18.27
-79.31,25.66
-79.55,9.64
-78.37,18.25
-80.26,25.14
-80.3,25.11
-80.35,25.03
-87.96,17.9
-81.4,13.37
-81.39,13.4
-81.54,9.09
-81.58,21.58
-81.92,21.59
-82.21,9.34
-82.22,9.34
-82.43,23.13
-86.48,15.98
-86.47,15.98
-86.47,15.95
-86.49,15.98
-86.49,15.97
-86.5,15.96
-86.5,15.95
-86.52,15.95
-86.52,15.94
-86.87,16.1
-86.89,16.09
-86.89,16.13
-86.92,16.08
-86.93,16.08
-86.96,20.5
-86.98,20.47
-87,16.09
-87,20.44
-87.02,20.32
-87.42,19.7
-87.44,19.79
-87.9,17.99
-87.94,17.93
-87.95,17.91
-87.96,17.88
-87.97,17.86
-87.98,17.83
-87.99,17.79
-87.99,17.78
-87.99,17.82
-88,17.78
-88.01,17.68
-88.01,16.45
-88.02,17.7
-88.02,17.34
-88.03,18.04
-88.03,17.34
-88.2,16.44
-88.27,16.1
-88.28,16.12
-88.29,16.09
-88.3,16.09
-88.3,15.85
-88.05,17.51
-88.06,17.25
-88.55,15.97
-81.56,9.11
-88.69,15.89
-88.77,15.87
-69.46,19.39
-86.89,16.08
-68.82,18.33
-87.47,19.8
-59.54,13.05
-74.55,23.95
